[08:02:13] ===========================
[08:02:13] == Start (check dupls: False)
[08:02:13] == Find: Country, City ( population >= 1000000 ), Volcano
[08:02:13] ===========================
[08:02:13] Start File: D:\zzz-osm\in\africa-latest.osm.bz2
[08:02:32] Processed Nodes: 1000000
[08:02:50] Processed Nodes: 2000000
[08:03:06] Processed Nodes: 3000000
[08:03:22] Processed Nodes: 4000000
[08:03:37] Processed Nodes: 5000000
[08:03:54] Processed Nodes: 6000000
[08:04:10] Processed Nodes: 7000000
[08:04:26] Processed Nodes: 8000000
[08:04:41] Processed Nodes: 9000000
[08:04:58] Processed Nodes: 10000000
[08:05:13] Processed Nodes: 11000000
[08:05:30] Processed Nodes: 12000000
[08:05:46] Processed Nodes: 13000000
[08:06:02] Processed Nodes: 14000000
[08:06:18] Processed Nodes: 15000000
[08:06:34] Processed Nodes: 16000000
[08:06:49] Processed Nodes: 17000000
[08:07:04] Processed Nodes: 18000000
[08:07:20] Processed Nodes: 19000000
[08:07:36] Processed Nodes: 20000000
[08:07:52] Processed Nodes: 21000000
[08:08:08] Processed Nodes: 22000000
[08:08:24] Processed Nodes: 23000000
[08:08:39] Processed Nodes: 24000000
[08:08:54] Processed Nodes: 25000000
[08:09:09] Processed Nodes: 26000000
[08:09:24] Processed Nodes: 27000000
[08:09:40] Processed Nodes: 28000000
[08:09:56] Processed Nodes: 29000000
[08:10:11] Processed Nodes: 30000000
[08:10:27] Processed Nodes: 31000000
[08:10:43] Processed Nodes: 32000000
[08:10:57] Processed Nodes: 33000000
[08:11:12] Processed Nodes: 34000000
[08:11:27] Processed Nodes: 35000000
[08:11:42] Processed Nodes: 36000000
[08:11:57] Processed Nodes: 37000000
[08:12:11] Processed Nodes: 38000000
[08:12:26] Processed Nodes: 39000000
[08:12:41] Processed Nodes: 40000000
[08:12:56] Processed Nodes: 41000000
[08:13:11] Processed Nodes: 42000000
[08:13:25] Processed Nodes: 43000000
[08:13:40] Processed Nodes: 44000000
[08:13:55] Processed Nodes: 45000000
[08:14:10] Processed Nodes: 46000000
[08:14:24] Processed Nodes: 47000000
