[12:29:43] ===========================
[12:29:43] == Start (check dupls: True)
[12:29:43] == Find: Country, City ( population >= 1000000 ), Volcano
[12:29:43] ===========================
[12:29:43] Start File: D:\zzz-osm\in\africa-latest.osm.bz2
[12:30:04] Processed Nodes: 1000000
[12:30:21] Processed Nodes: 2000000
[12:30:37] Processed Nodes: 3000000
[12:30:54] Processed Nodes: 4000000
[12:31:11] Processed Nodes: 5000000
[12:31:30] Processed Nodes: 6000000
[12:31:47] Processed Nodes: 7000000
[12:32:05] Processed Nodes: 8000000
[12:32:20] Processed Nodes: 9000000
[12:32:37] Processed Nodes: 10000000
[12:32:55] Processed Nodes: 11000000
[12:33:11] Processed Nodes: 12000000
[12:33:27] Processed Nodes: 13000000
[12:33:43] Processed Nodes: 14000000
[12:33:58] Processed Nodes: 15000000
[12:34:14] Processed Nodes: 16000000
[12:34:29] Processed Nodes: 17000000
[12:34:44] Processed Nodes: 18000000
[12:34:59] Processed Nodes: 19000000
[12:35:14] Processed Nodes: 20000000
[12:35:29] Processed Nodes: 21000000
[12:35:44] Processed Nodes: 22000000
[12:35:58] Processed Nodes: 23000000
[12:36:13] Processed Nodes: 24000000
[12:36:28] Processed Nodes: 25000000
[12:36:43] Processed Nodes: 26000000
[12:36:58] Processed Nodes: 27000000
[12:37:14] Processed Nodes: 28000000
[12:37:28] Processed Nodes: 29000000
[12:37:44] Processed Nodes: 30000000
[12:37:59] Processed Nodes: 31000000
[12:38:14] Processed Nodes: 32000000
[12:38:29] Processed Nodes: 33000000
[12:38:44] Processed Nodes: 34000000
[12:38:59] Processed Nodes: 35000000
[12:39:14] Processed Nodes: 36000000
[12:39:29] Processed Nodes: 37000000
[12:39:44] Processed Nodes: 38000000
[12:39:59] Processed Nodes: 39000000
[12:40:14] Processed Nodes: 40000000
[12:40:30] Processed Nodes: 41000000
[12:40:45] Processed Nodes: 42000000
[12:41:00] Processed Nodes: 43000000
[12:41:16] Processed Nodes: 44000000
[12:41:31] Processed Nodes: 45000000
[12:41:46] Processed Nodes: 46000000
[12:42:02] Processed Nodes: 47000000
[12:42:17] Processed Nodes: 48000000
[12:42:33] Processed Nodes: 49000000
[12:42:48] Processed Nodes: 50000000
[12:43:04] Processed Nodes: 51000000
[12:43:18] Processed Nodes: 52000000
[12:43:33] Processed Nodes: 53000000
[12:43:49] Processed Nodes: 54000000
[12:44:06] Processed Nodes: 55000000
[12:44:21] Processed Nodes: 56000000
[12:44:37] Processed Nodes: 57000000
[12:44:52] Processed Nodes: 58000000
[12:45:08] Processed Nodes: 59000000
[12:45:23] Processed Nodes: 60000000
[12:45:38] Processed Nodes: 61000000
[12:45:54] Processed Nodes: 62000000
[12:46:10] Processed Nodes: 63000000
[12:46:26] Processed Nodes: 64000000
[12:46:42] Processed Nodes: 65000000
[12:46:57] Processed Nodes: 66000000
[12:47:15] Processed Nodes: 67000000
[12:47:30] Processed Nodes: 68000000
[12:47:46] Processed Nodes: 69000000
[12:48:02] Processed Nodes: 70000000
[12:48:17] Processed Nodes: 71000000
[12:48:32] Processed Nodes: 72000000
[12:48:47] Processed Nodes: 73000000
[12:49:05] Processed Nodes: 74000000
[12:49:22] Processed Nodes: 75000000
[12:49:39] Processed Nodes: 76000000
[12:49:55] Processed Nodes: 77000000
[12:50:10] Processed Nodes: 78000000
[12:50:24] Processed Nodes: 79000000
[12:50:42] Processed Nodes: 80000000
[12:50:57] Processed Nodes: 81000000
[12:51:13] Processed Nodes: 82000000
[12:51:29] Processed Nodes: 83000000
[12:51:45] Processed Nodes: 84000000
[12:52:00] Processed Nodes: 85000000
[12:52:16] Processed Nodes: 86000000
[12:52:33] Processed Nodes: 87000000
