[07:59:52] ===========================
[07:59:52] == Start (check dupls: False)
[07:59:52] == Find: Deserts
[07:59:52] ===========================
[07:59:52] Start File: D:\zzz-osm\in\africa-latest.osm.bz2
[08:12:57] Processed Ways: 1000000
[08:13:43] Processed Ways: 2000000
[08:14:26] Processed Ways: 3000000
[08:15:09] Processed Ways: 4000000
[08:15:53] Processed Ways: 5000000
[08:16:34] Processed Ways: 6000000
[08:17:13] Processed Ways: 7000000
[08:17:50] Processed Ways: 8000000
[08:18:28] Processed Ways: 9000000
[08:19:07] Processed Ways: 10000000
[08:19:46] Processed Ways: 11000000
[08:20:26] Processed Ways: 12000000
[08:22:28] Processed Nodes: 1000000
[08:24:05] Processed Nodes: 2000000
[08:25:41] Processed Nodes: 3000000
[08:27:16] Processed Nodes: 4000000
[08:28:51] Processed Nodes: 5000000
[08:30:28] Processed Nodes: 6000000
[08:32:03] Processed Nodes: 7000000
[08:33:38] Processed Nodes: 8000000
[08:35:13] Processed Nodes: 9000000
[08:36:48] Processed Nodes: 10000000
[08:38:23] Processed Nodes: 11000000
[08:39:59] Processed Nodes: 12000000
[08:41:34] Processed Nodes: 13000000
[08:43:08] Processed Nodes: 14000000
[08:44:36] Processed Nodes: 15000000
[08:46:04] Processed Nodes: 16000000
[08:47:32] Processed Nodes: 17000000
[08:49:00] Processed Nodes: 18000000
[08:50:29] Processed Nodes: 19000000
[08:51:57] Processed Nodes: 20000000
[08:53:25] Processed Nodes: 21000000
[08:54:53] Processed Nodes: 22000000
[08:56:21] Processed Nodes: 23000000
[08:57:49] Processed Nodes: 24000000
[08:59:17] Processed Nodes: 25000000
[09:00:46] Processed Nodes: 26000000
[09:02:14] Processed Nodes: 27000000
[09:03:42] Processed Nodes: 28000000
[09:05:10] Processed Nodes: 29000000
[09:06:38] Processed Nodes: 30000000
[09:08:07] Processed Nodes: 31000000
[09:09:35] Processed Nodes: 32000000
[09:11:03] Processed Nodes: 33000000
[09:12:31] Processed Nodes: 34000000
[09:13:59] Processed Nodes: 35000000
[09:15:27] Processed Nodes: 36000000
[09:16:55] Processed Nodes: 37000000
[09:18:23] Processed Nodes: 38000000
[09:19:51] Processed Nodes: 39000000
[09:21:20] Processed Nodes: 40000000
[09:22:48] Processed Nodes: 41000000
[09:24:16] Processed Nodes: 42000000
[09:25:44] Processed Nodes: 43000000
[09:27:13] Processed Nodes: 44000000
[09:28:41] Processed Nodes: 45000000
[09:30:09] Processed Nodes: 46000000
[09:31:37] Processed Nodes: 47000000
[09:33:05] Processed Nodes: 48000000
[09:34:33] Processed Nodes: 49000000
[09:36:01] Processed Nodes: 50000000
[09:37:29] Processed Nodes: 51000000
[09:38:57] Processed Nodes: 52000000
[09:40:26] Processed Nodes: 53000000
[09:41:54] Processed Nodes: 54000000
[09:43:22] Processed Nodes: 55000000
[09:44:50] Processed Nodes: 56000000
[09:46:18] Processed Nodes: 57000000
[09:47:46] Processed Nodes: 58000000
[09:49:14] Processed Nodes: 59000000
[09:50:42] Processed Nodes: 60000000
[09:52:10] Processed Nodes: 61000000
[09:53:38] Processed Nodes: 62000000
[09:55:06] Processed Nodes: 63000000
[09:56:34] Processed Nodes: 64000000
[09:58:02] Processed Nodes: 65000000
[09:59:31] Processed Nodes: 66000000
[10:01:01] Processed Nodes: 67000000
[10:02:32] Processed Nodes: 68000000
[10:04:01] Processed Nodes: 69000000
[10:05:29] Processed Nodes: 70000000
[10:06:56] Processed Nodes: 71000000
[10:08:25] Processed Nodes: 72000000
[10:09:53] Processed Nodes: 73000000
[10:11:21] Processed Nodes: 74000000
[10:12:49] Processed Nodes: 75000000
[10:14:17] Processed Nodes: 76000000
