[12:29:31] ===========================
[12:29:31] == Start (check dupls: True)
[12:29:31] == Find: Deserts
[12:29:31] ===========================
[12:29:31] Start File: D:\zzz-osm\in\africa-latest.osm.bz2
[12:42:32] Processed Ways: 1000000
[12:43:18] Processed Ways: 2000000
[12:44:04] Processed Ways: 3000000
[12:44:48] Processed Ways: 4000000
[12:45:34] Processed Ways: 5000000
[12:46:17] Processed Ways: 6000000
[12:46:59] Processed Ways: 7000000
[12:47:39] Processed Ways: 8000000
[12:48:19] Processed Ways: 9000000
[12:48:59] Processed Ways: 10000000
[12:49:44] Processed Ways: 11000000
[12:50:25] Processed Ways: 12000000
[12:51:08] Processed Nodes: 1000000
[12:51:25] Processed Nodes: 2000000
[12:51:42] Processed Nodes: 3000000
[12:51:57] Processed Nodes: 4000000
[12:52:13] Processed Nodes: 5000000
[12:52:32] Processed Nodes: 6000000
[12:52:50] Processed Nodes: 7000000
[12:53:07] Processed Nodes: 8000000
[12:53:23] Processed Nodes: 9000000
[12:53:39] Processed Nodes: 10000000
[12:53:55] Processed Nodes: 11000000
[12:54:11] Processed Nodes: 12000000
[12:54:28] Processed Nodes: 13000000
[12:54:45] Processed Nodes: 14000000
[12:55:02] Processed Nodes: 15000000
[12:55:18] Processed Nodes: 16000000
[12:55:35] Processed Nodes: 17000000
[12:55:52] Processed Nodes: 18000000
[12:56:09] Processed Nodes: 19000000
[12:56:25] Processed Nodes: 20000000
[12:56:42] Processed Nodes: 21000000
[12:56:58] Processed Nodes: 22000000
[12:57:14] Processed Nodes: 23000000
[12:57:31] Processed Nodes: 24000000
[12:57:48] Processed Nodes: 25000000
[12:58:05] Processed Nodes: 26000000
[12:58:21] Processed Nodes: 27000000
[12:58:38] Processed Nodes: 28000000
[12:58:54] Processed Nodes: 29000000
[12:59:10] Processed Nodes: 30000000
[12:59:27] Processed Nodes: 31000000
[12:59:42] Processed Nodes: 32000000
[12:59:57] Processed Nodes: 33000000
[01:00:11] Processed Nodes: 34000000
[01:00:27] Processed Nodes: 35000000
[01:00:42] Processed Nodes: 36000000
[01:00:58] Processed Nodes: 37000000
[01:01:14] Processed Nodes: 38000000
[01:01:30] Processed Nodes: 39000000
[01:01:47] Processed Nodes: 40000000
[01:02:04] Processed Nodes: 41000000
[01:02:20] Processed Nodes: 42000000
[01:02:36] Processed Nodes: 43000000
[01:02:52] Processed Nodes: 44000000
[01:03:08] Processed Nodes: 45000000
[01:03:24] Processed Nodes: 46000000
[01:03:39] Processed Nodes: 47000000
[01:03:55] Processed Nodes: 48000000
[01:04:10] Processed Nodes: 49000000
[01:04:25] Processed Nodes: 50000000
[01:04:40] Processed Nodes: 51000000
[01:04:55] Processed Nodes: 52000000
[01:05:10] Processed Nodes: 53000000
[01:05:25] Processed Nodes: 54000000
[01:05:40] Processed Nodes: 55000000
[01:05:55] Processed Nodes: 56000000
[01:06:09] Processed Nodes: 57000000
[01:06:24] Processed Nodes: 58000000
[01:06:39] Processed Nodes: 59000000
[01:06:54] Processed Nodes: 60000000
[01:07:08] Processed Nodes: 61000000
[01:07:23] Processed Nodes: 62000000
[01:07:38] Processed Nodes: 63000000
[01:07:53] Processed Nodes: 64000000
[01:08:08] Processed Nodes: 65000000
[01:08:23] Processed Nodes: 66000000
[01:08:38] Processed Nodes: 67000000
[01:08:52] Processed Nodes: 68000000
[01:09:08] Processed Nodes: 69000000
[01:09:23] Processed Nodes: 70000000
[01:09:38] Processed Nodes: 71000000
[01:09:53] Processed Nodes: 72000000
[01:10:08] Processed Nodes: 73000000
[01:10:23] Processed Nodes: 74000000
[01:10:38] Processed Nodes: 75000000
[01:10:53] Processed Nodes: 76000000
[01:11:08] Processed Nodes: 77000000
[01:11:23] Processed Nodes: 78000000
[01:11:38] Processed Nodes: 79000000
[01:11:54] Processed Nodes: 80000000
[01:12:09] Processed Nodes: 81000000
[01:12:24] Processed Nodes: 82000000
[01:12:40] Processed Nodes: 83000000
[01:12:59] Processed Nodes: 84000000
[01:13:12] Processed Nodes: 85000000
[01:13:26] Processed Nodes: 86000000
[01:13:40] Processed Nodes: 87000000
[01:13:54] Processed Nodes: 88000000
